article,candidate,score,publishedAt
fact check tim walz repeat lie creating monitor pregnancy tim walz continue repeat lie want create federal abortion monitor coordinator despite numerous factchecks breitbart news also usa today snopes post fact check tim walz repeat,Kamala Harris,0.296,2024-09-18T13:04:22Z
nate silver offer debate advice immediately tuesday debate challenged rematch refusing take part another debate,Kamala Harris,0.0,2024-09-19T09:40:43Z
gutfeld mock word salad clip actually easily digested youre kamalahater gutfeld mocked vp word salad actually clip vp making easilyunderstood statement post gutfeld mock word salad clip actually easily digested youre,Kamala Harris,-0.1027,2024-09-19T19:31:30Z
team adviser cnn trash rally attack actually offensive bryan lanza told cnns audience found attack vice president actually offensive attack wa made rally post team adviser cnn trash rally attack actually offensive first appe,Kamala Harris,-0.7269,2024-09-18T12:03:55Z
campaign outraises august vice president team brought nearly million donation month post campaign outraises august appeared first thewrap,Kamala Harris,0.0,2024-09-21T20:52:39Z
gain voter still weirdly think economy might take couple rant great man fix,Kamala Harris,0.296,2024-09-21T15:16:07Z
court rural voter launching targeted effort court republican voter rural pennsylvania axios reportsits sign campaign aiming surge democratic turnout vote dense philly pittsburgh also trying hard blu,Kamala Harris,0.0,2024-09-24T10:26:37Z
slam abortion ban delivered impassioned speech abortion right friday georgia accusing republican support abortion ban causing unnecessary suffering described farreaching painful even deadly consequence policy,Kamala Harris,-0.7351,2024-09-20T21:21:22Z
liz cheney responds cabinet rumor trumpcritic cheney ha endorsed president,Kamala Harris,0.0,2024-09-18T14:24:36Z
jimmy kimmel say gop endorsement prove really bringing country together video abc host joke among republican endorsed melania post jimmy kimmel say gop endorsement prove really bringing country together video appeared first thewrap,Kamala Harris,0.3182,2024-09-19T04:56:51Z
fcking amazing job joe rogan raf nailing debate joe rogan offered chef kiss team behind arguing better prepared democrat crushed former abc news debate post fcking amazing job joe rogan raf nailing debate first appe,Kamala Harris,0.5859,2024-09-17T14:32:49Z
try take oprah winfrey attack event winfrey wanted crawl table former president claimed wa largely unique interpretation actually transpired,Kamala Harris,-0.4767,2024-09-22T17:28:27Z
chiquibaby asks madam president assassination bid thought political violence radio host chiquibaby asked madam president weigh political violence wake foiled assassination plot post chiquibaby asks madam president assassination bid thou,Kamala Harris,-0.8402,2024-09-17T16:45:12Z
reporter cnn factchecks claim ha assassination try dont know one tried kill caldwell factchecked claim effort assassination saying dont know vp hasnt people try kill post reporter cnn factchecks claim ha assassination try dont know one,Kamala Harris,-0.802,2024-09-17T18:41:27Z
former republican leader endorse warn unfit serve list includes official worked reagan bush administration post former republican leader endorse warn unfit serve appeared first thewrap,Kamala Harris,0.2263,2024-09-18T23:51:24Z
fox news pundit brag leading assassination attempt scorecard political analyst laura fink called fox news contributor guy benson using simple trope bragged former president wa leading scorecard assassination attempt fox news panel discussion sunday benson compla,Kamala Harris,-0.5994,2024-09-24T01:00:01Z
ny time torpedo crowd size complaint deep study rally new york time torpedoed claim rally crowd much bigger vice president harris people arent walking post ny time torpedo crowd size complaint deep study rallie,Kamala Harris,-0.296,2024-09-21T14:20:35Z
merrick garland doj pep rally prof debate merrick garland right concerned politicization doj federal government maybe look mirror,Kamala Harris,0.0,2024-09-18T11:26:28Z
evangelicals voting value backing white evangelical voter supported,Kamala Harris,0.3612,2024-09-19T15:24:52Z
protrump cnn analyst recoil suggestion could become white dude protrump cnn analyst scott jennings recoiled fellow contributor suggested vice president could win white dude post protrump cnn analyst recoil suggestion could become white dude,Kamala Harris,0.0,2024-09-20T12:09:18Z
census data show american havent gotten pay raise since wa president lower income higher inflation fewer people private health insurance life joe biden,Kamala Harris,0.0762,2024-09-19T11:16:05Z
medium nosedive record low first day insider sell share company ha lost half value since entered race,Kamala Harris,0.0258,2024-09-20T16:11:59Z
fox news poll top two point dana blantonfox news dana blanton fox news fox news poll top two point latest fox news national survey find point shift since august vice president edge former president headtohead matchup voter see,Kamala Harris,0.2023,2024-09-18T23:25:04Z
mike johnson give conditional answer asked hed certify victory speaker house mike johnson offered conditional response wa asked hed certify win november post mike johnson give conditional answer asked hed certify victory first appeared,Kamala Harris,0.0,2024-09-24T17:32:58Z
handed good news nate silver bold prediction chance winning november spiked since debate according silver model,Kamala Harris,0.6705,2024-09-18T03:02:32Z
weirdly surprised somehow woman better president joe biden oddly without explanation referenced vp harris gender observed ha performed better poll biden post weirdly surprised somehow woman better president joe biden first appeared,Kamala Harris,0.3818,2024-09-19T14:28:55Z
joe rogan say nailing rogan controversial figure spreading misinformation past racist comment ha openly critical,Kamala Harris,0.0,2024-09-17T20:58:30Z
take lead fox news poll democratic candidate ha received percent potential vote first time since joining ticket,Kamala Harris,0.0,2024-09-18T23:05:43Z
campaign mock rejecting second debate challenge hq took x criticize former president refusing take part cnn debate october,Kamala Harris,-0.6705,2024-09-22T15:19:07Z
larry kudlow furious record stock market former maga economic advisor larry kudlow could barely contain fury stock market hit record high thursday response fed cutting rate wednesday kudlow like wall street folk demanding rate cut tim,Kamala Harris,-0.5719,2024-09-20T15:15:36Z
