article,candidate,score,publishedAt
lash fox news ahead wednesday dueling appearance network former president accused fox news monday constantly polluting airwave unopposed representative vice president network announced airing sitdown interview democratic presidential rival,Kamala Harris,-0.296,2024-10-15T02:20:35Z
compete latino vote different way nnamdi egwuonwunbc news nnamdi egwuonwu nbc news compete latino vote different way seeking advantage economy especially among younger men spending vastly targeted advertising outreach tucson,Kamala Harris,0.4767,2024-09-29T18:00:06Z
say busy winning sue factchecking abc debate anchor wa called live four lie million viewer debated earlier month,Kamala Harris,0.5267,2024-09-28T17:55:18Z
make another premature victory claim make another premature victory claim could try exploit election night lead year red mirage may weaker wa,Kamala Harris,-0.5106,2024-09-28T13:00:50Z
fox bret baier fends fan bombarding interview conspiracy theory bret baier fended blizzard conspiracyminded accusation supporter baiers upcoming interview vice president post fox bret baier fends fan bombarding interview conspiracy,Kamala Harris,-0.4767,2024-10-15T14:25:40Z
israel defeat referred november election one important u well important election history israel,Kamala Harris,0.1779,2024-09-20T14:36:40Z
go adversarial fox news joe rogan podcast engages fox news joe rogans podcast countering critique rhetoric increasingly worry former ally aim attract male demographic excels despite attack health mental capacity,Kamala Harris,0.6315,2024-10-15T16:43:44Z
get unhinged even minute interview ,Kamala Harris,0.0,2024-10-08T13:09:13Z
huge development cnn polling expert highlight potential secret weapon decade republican relied upon older voter turning large number make deficit younger votershowever cnn polling expert harry enten thursday highlighted polling showing could actually reverse elec,Kamala Harris,0.0258,2024-09-26T16:32:49Z
biden slam view appearance social redeeming value president biden discusses decision step criticizes reflects legacy support,Kamala Harris,0.0258,2024-09-25T17:42:55Z
protrump billionaire reveals plan pull investment stock market win republican megadonor hedge fund billionaire john paulson revealed would pull money stock market vice president win upcoming presidential election pointing uncertainty around economic policy po,Kamala Harris,0.3818,2024-09-18T03:56:56Z
look cut voter trust border vice president campaigned along southern border douglas arizona friday first trip since becoming presidential nominee cbs news senior white house political correspondent ed okeefe report campaign hope,Kamala Harris,0.6249,2024-09-28T00:30:00Z
court rural voter launching targeted effort court republican voter rural pennsylvania axios reportsits sign campaign aiming surge democratic turnout vote dense philly pittsburgh also trying hard blu,Kamala Harris,-0.1027,2024-09-24T10:26:37Z
